,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu618,0,0,0,2,1,3,4,1,0,8,0,0,0,0,0,0,0,0,0,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
Otu619,0,0,0,1,1,0,0,0,0,0,3,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Otu62,7,19,7,7,9,18,3,19,28,6,50,175,3,31,19,113,5,9,41,631,56,3,9,12,29,79,99,62,132,60,6,10,8,6,13,3,10,12,0,8,7,34,5,16,18,25,3,7,15,32,47,12,24,12,13,2,8,6,15,5
Otu620,0,4,3,4,4,0,0,0,1,0,1,1,0,2,0,0,2,0,0,10,1,0,0,0,1,0,0,0,1,0,5,6,2,0,6,0,2,0,0,1,2,3,0,4,3,1,7,0,1,3,0,0,0,2,0,0,0,0,0,0
Otu621,1,1,2,7,2,5,3,2,4,1,1,0,0,1,0,5,0,4,2,22,3,0,1,1,1,0,0,1,0,0,3,2,3,0,2,0,1,1,1,3,0,1,1,0,0,2,1,2,3,2,4,1,3,1,1,0,8,4,1,0
Otu622,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,2,1,3,7,2,1,0,0,1,0,0,1,0,0,2,17,0,0,1,0,0,0,0,2,0,0,1,0,0,3,9,3,5,4,1,0,2,4,1,0,4,5,1,2
Otu623,0,0,0,0,0,0,0,0,0,0,0,13,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu624,0,0,0,1,1,2,0,3,0,0,0,13,0,2,0,1,1,0,0,14,1,0,2,0,0,3,4,4,1,0,0,1,0,0,0,0,4,0,0,2,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,1,1,2
Otu625,0,1,1,3,2,2,0,0,4,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,2,5,0,3,9,1,1,1,0,1,0,1,0,0,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0
Otu626,0,0,0,0,1,5,2,5,0,0,0,0,1,0,0,1,0,0,0,56,6,0,1,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
