,Treatment,Compartment,Jar,Experiment,Sobs,Chao1,Shan,TreatComp,Treat.order,Comp.order
TEC.AS1.J1,TEC,AS,J1,Plasticiser,46,48.5,3.138451251,TEC.AS,c.TEC,b.AS
TEC.AS1.J2,TEC,AS,J2,Plasticiser,54,61.85714286,3.804921099,TEC.AS,c.TEC,b.AS
TEC.AS1.J3,TEC,AS,J3,Plasticiser,54,80.25,2.220118932,TEC.AS,c.TEC,b.AS
TEC.AS1.J4,TEC,AS,J4,Plasticiser,58,75.5,2.845922948,TEC.AS,c.TEC,b.AS
TEC.AS1.J5,TEC,AS,J5,Plasticiser,73,84,3.759168424,TEC.AS,c.TEC,b.AS
TEC.BS.J1,TEC,BS,J1,Plasticiser,140,152.5,4.543235828,TEC.BS,c.TEC,a.BS
TEC.BS.J2,TEC,BS,J2,Plasticiser,52,57.6,3.611573869,TEC.BS,c.TEC,a.BS
TEC.BS.J3,TEC,BS,J3,Plasticiser,89,115.25,4.00627601,TEC.BS,c.TEC,a.BS
TEC.BS.J4,TEC,BS,J4,Plasticiser,57,84.5,4.013382231,TEC.BS,c.TEC,a.BS
TEC.BS.J5,TEC,BS,J5,Plasticiser,58,67.16666667,3.758399242,TEC.BS,c.TEC,a.BS
TEC.P1.J1,TEC,P,J1,Plasticiser,23,25.5,1.039513503,TEC.P,c.TEC,c.P
TEC.P1.J2,TEC,P,J2,Plasticiser,28,35,1.359715176,TEC.P,c.TEC,c.P
TEC.P1.J3,TEC,P,J3,Plasticiser,25,36.25,1.525473029,TEC.P,c.TEC,c.P
TEC.P1.J4,TEC,P,J4,Plasticiser,34,52.33333333,0.693070036,TEC.P,c.TEC,c.P
TEC.P1.J5,TEC,P,J5,Plasticiser,23,28.25,1.253299186,TEC.P,c.TEC,c.P
