,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P3.J1,Ctrl.P3.J2,Ctrl.P3.J3,Ctrl.P3.J4,Ctrl.P3.J5,DBP.AS3.J1,DBP.AS3.J2,DBP.AS3.J3,DBP.AS3.J4,DBP.AS3.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P3.J1,DBP.P3.J2,DBP.P3.J3,DBP.P3.J4,DBP.P3.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS1.J1,TEC.AS1.J2,TEC.AS1.J3,TEC.AS1.J4,TEC.AS1.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P1.J1,TEC.P1.J2,TEC.P1.J3,TEC.P1.J4,TEC.P1.J5,taxonomy_Unite10
Otu323,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Chaetocapnodium;s__Chaetocapnodium_insulare
Otu173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Capnodiales_gen_Incertae_sedis;s__Capnodiales_sp
Otu469,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Capnodiales_gen_Incertae_sedis;s__Capnodiales_sp
Otu301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Stomiopeltis;s__Stomiopeltis_sp
Otu139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,2,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_halotolerans
Otu195,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_halotolerans
Otu178,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum
Otu392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Toxicocladosporium;s__Toxicocladosporium_irritans
Otu474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Neocelosporiaceae;g__Neocelosporium;s__Neocelosporium_eucalypti
Otu287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Pseudosydowia;s__Pseudosydowia_backhousiae
